MOBILE_NAME RATING PRICE RAM SIZE CAMERA  BATTERY PROCESSOR  CHARGE
Realme XT (Pearl White| 64 GB),₹15,999₹16,9995% offNo Cost EMIUpto ₹10,800 Off on Exchange,,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.26 cm (6.4 inch) Display,64MP + 8MP + 2MP + 2MP Quad Camera | 16MP Front Camera,4000 mAh Battery,

Realme XT (Pearl Blue| 128 GB),₹18,999₹19,9995% offNo Cost EMIUpto ₹10,800 Off on Exchange,,8 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.26 cm (6.4 inch) Display,64MP + 8MP + 2MP + 2MP Quad Camera | 16MP Front Camera,4000 mAh Battery,

Redmi Note 7S (Ruby Red| 64 GB),₹10,999₹13,99921% offNo Cost EMIUpto ₹10,800 Off on Exchange,,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) FHD+ Display,48MP + 5MP | 13MP Front Camera,4000 mAh Battery,

Redmi Note 7 Pro (Space Black| 64 GB),₹11,999₹15,99925% offNo Cost EMIUpto ₹10,800 Off on Exchange,,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) FHD+ Display,48MP + 5MP | 13MP Front Camera,4000 mAh Li-polymer Battery,

Vivo Z1x (Phantom Purple| 64 GB),₹16,990₹19,99015% offNo Cost EMIUpto ₹10,800 Off on Exchange,,6 GB RAM | 64 GB ROM |,16.21 cm (6.38 inch) FHD+ Display,48MP + 8MP + 2MP | 32MP Front Camera,4500 mAh Li-ion Battery,

Redmi 7A (Matte Blue| 32 GB),₹5,799₹6,99917% offNo Cost EMIUpto ₹5,700 Off on Exchange,,2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,13.84 cm (5.45 inch) HD+ Display,12MP Rear Camera | 5MP Front Camera,4000 mAh Li-Polymer Battery,

Redmi 7A (Matte Blue| 16 GB),₹5,499₹6,49915% offNo Cost EMIUpto ₹5,400 Off on Exchange,,2 GB RAM | 16 GB ROM | Expandable Upto 256 GB,13.84 cm (5.45 inch) HD+ Display,12MP Rear Camera | 5MP Front Camera,4000 mAh Li-Polymer Battery,

Redmi Note 7 Pro (Nebula Red| 64 GB),₹11,999₹15,99925% offNo Cost EMIUpto ₹10,800 Off on Exchange,,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) FHD+ Display,48MP + 5MP | 13MP Front Camera,4000 mAh Li-polymer Battery,

Redmi Y3 (Prime Black| 32 GB),₹8,338₹11,99930% off,,3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,15.9 cm (6.26 inch) HD+ Display,12MP + 2MP | 32MP Front Camera,4000 mAh Battery,

